  20 Donald	Trump
  19 la	Chine
  15 guerre	commerciale
  14 de	la
  13 milliards	de
  13 la	guerre
  13 de	dollars
  11 président	américain
  10 Etats	Unis
   7 sur	le
   6 à	la
   6 le	président
   6 le	même
   6 droits	de
   6 de	douane
   5 système	d
   5 sur	les
   5 qu	il
   5 les	importations
   5 les	Etats
   5 le	terrain
   5 de	produits
   5 d	exploitation
   4 à	l
   4 une	liste
   4 s	est
   4 produits	chinois
   4 par	les
   4 importations	chinoises
   4 importations	américaines
   4 et	son
   4 dollars	d
   4 d	importations
   4 Sur	le
   3 un	nouveau
   3 télécoms	Huawei
   3 terrain	technologique
   3 sont	notamment
   3 son	homologue
   3 sommet	du
   3 se	sont
   3 propriété	intellectuelle
   3 négociations	entre
   3 notamment	entretenus
   3 mars	2018
   3 marge	du
   3 les	négociations
   3 le	1er
   3 juin	en
   3 homologue	chinois
   3 géant	chinois
   3 fin	juin
   3 face	aux
   3 exploitation	pour
   3 et	de
   3 entretenus	fin
   3 entre	les
   3 en	vigueur
   3 en	place
   3 en	marge
   3 déficit	commercial
   3 du	sommet
   3 du	1er
   3 douane	sur
   3 dollars	de
   3 des	télécoms
   3 des	deux
   3 des	Etats
   3 de	cette
   3 de	10
   3 chinois	des
   3 chinois	Xi
   3 avec	une
   3 avec	la
   3 américain	Donald
   3 Xi	Jinping
   3 Unis	et
   3 Trump	et
   3 Osaka	Japon
   3 Le	président
   3 Kim	Jong
   3 Jong	un
   3 Jinping	se
   2 être	un
   2 à	poser
   2 à	compter
   2 à	Washington
   2 à	Osaka
   2 à	25
   2 à	13
   2 Élu	pour
   2 yuans	pour
   2 vol	de
   2 vigueur	le
   2 vice	Premier
   2 via	Twitter
   2 une	tentative
   2 une	partie
   2 une	nouvelle
   2 une	invitation
   2 une	communication
   2 un	Élu
   2 un	système
   2 un	montant
   2 un	dollar
   2 un	après
   2 téléphones	portables
   2 tout	le
   2 tentative	de
   2 technologique	En
   2 taxes	sur
   2 taxes	douanières
   2 tarifs	douaniers
   2 sur	200
   2 sujet	de
   2 sociétés	étrangères
   2 ses	téléphones
   2 sanctions	américaines
   2 sa	devise
   2 rassurer	les
   2 qui	s
   2 qui	montre
   2 qui	fait
   2 qui	a
   2 que	les
   2 que	la
   2 qu	elle
   2 présenté	un
   2 premier	président
   2 pour	un
   2 pour	ses
   2 pour	justifier
   2 poser	le
   2 portables	FRED
   2 populaire	de
   2 plus	bas
   2 place	de
   2 pied	en
   2 perdre	son
   2 patriotiques	lors
   2 par	le
   2 nouvelles	sanctions
   2 nouveau	système
   2 noire	d
   2 n	est
   2 même	temps
   2 même	sujetEtats
   2 mène	contre
   2 mise	en
   2 ministre	chinois
   2 milliardaire	républicain
   2 menacé	de
   2 marchés	financiers
   2 mais	qui
   2 mai	dernier
   2 lui	avoir
   2 lors	de
   2 liste	noire
   2 liste	de
   2 les	marchés
   2 les	deux
   2 les	commentaires
   2 le	yuan
   2 le	premier
   2 le	pied
   2 le	monde
   2 le	milliardaire
   2 le	6
   2 le	22
   2 le	18
   2 le	01
   2 la	mise
   2 la	commémoration
   2 la	République
   2 justifier	la
   2 jusque	là
   2 juin	Donald
   2 invitation	inattendue
   2 intellectuelle	américaine
   2 inattendue	via
   2 il	mène
   2 financiers	au
   2 fin	août
   2 fait	des
   2 face	à
   2 exploitation	Android
   2 exercice	à
   2 et	la
   2 et	entonnent
   2 et	Pékin
   2 est	toujours
   2 est	devenu
   2 est	autoproclamé
   2 entreprises	étrangères
   2 entonnent	des
   2 en	exercice
   2 en	effet
   2 en	compagnie
   2 en	annonçant
   2 en	Corée
   2 effet	la
   2 du	yuan
   2 du	vice
   2 du	fait
   2 du	Nord
   2 du	G20
   2 drapeaux	et
   2 douaniers	sur
   2 douane	supplémentaires
   2 directe	des
   2 devenu	le
   2 deux	pays
   2 des	taxes
   2 des	signes
   2 des	sanctions
   2 des	produits
   2 des	monnaies
   2 des	importations
   2 des	hausses
   2 des	droits
   2 des	drapeaux
   2 des	chants
   2 des	Chinois
   2 des	70
   2 de	téléphone
   2 de	technologie
   2 de	taxes
   2 de	rassurer
   2 de	propriété
   2 de	perdre
   2 de	même
   2 de	l
   2 de	biens
   2 de	Pékin
   2 de	Kim
   2 de	Huawei
   2 de	Chine
   2 de	90
   2 dans	une
   2 dans	le
   2 dans	la
   2 d	une
   2 d	un
   2 d	entreprises
   2 d	autres
   2 croissance	mondiale
   2 coup	de
   2 contre	la
   2 confondu	les
   2 compter	du
   2 compagnie	de
   2 commémoration	des
   2 communication	directe
   2 commerciale	qu
   2 commerciale	entre
