  10 U	S
   8 Trade	War
   7 at	the
   7 2019	REUTERS
   5 Trade	Deal
   4 the	White
   4 on	a
   4 for	the
   4 and	the
   4 White	House
   4 United	States
   4 Trump	s
   4 South	Korea
   4 National	Interest
   4 Middle	East
   4 Magazine	Blogs
   3 on	Twitter
   3 by	James
   3 Twitter	L
   3 S	President
   3 President	Donald
   3 James	Pethokoukis
   3 Donald	Trump
   3 December	10
   3 China	by
   3 China	Trade
   3 31	2019
   3 2019	Reuters
   3 10	2019
   2 with	merchandise
   2 with	Treasury
   2 with	South
   2 with	Chinese
   2 with	China
   2 which	transports
   2 via	Reuters
   2 truck	loaded
   2 transports	goods
   2 to	South
   2 to	Combat
   2 this	illustration
   2 their	meeting
   2 the	freight
   2 the	Xijiao
   2 the	United
   2 the	Ugly
   2 the	Trade
   2 the	New
   2 the	National
   2 the	Good
   2 the	Foot
   2 the	Bad
   2 taken	December
   2 speaks	during
   2 shipping	company
   2 shakes	hands
   2 screen	in
   2 s	official
   2 s	Prime
   2 s	New
   2 s	National
   2 s	China
   2 residence	in
   2 posing	for
   2 pictured	on
   2 picture	taken
   2 photo	at
   2 on	after
   2 on	Transforming
   2 on	China
   2 official	residence
   2 of	mobile
   2 of	a
   2 mobile	apps
   2 merchandise	at
   2 meeting	at
   2 looking	on
   2 logos	of
   2 loaded	with
   2 is	pictured
   2 in	this
   2 in	the
   2 in	Washington
   2 in	Tokyo
   2 in	Shanghai
   2 in	Ciudad
   2 illustration	picture
   2 he	chats
   2 hands	with
   2 goods	between
   2 gestures	as
   2 freight	shipping
   2 for	a
   2 flag	is
   2 family	photo
   2 during	the
   2 displayed	on
   2 company	Sotelo
   2 chief	Suh
   2 chats	with
   2 by	Stratfor
   2 by	Chris
   2 between	Mexico
   2 before	their
   2 at	Abe
   2 as	he
   2 are	displayed
   2 apps	Google
   2 and	Netflix
   2 and	Internships
   2 after	posing
   2 a	truck
   2 a	screen
   2 a	family
   2 a	Trade
   2 a	Hawk
   2 ________________________________________	BUTTON
   2 Youtube	RSS
   2 Xijiao	Conference
   2 Worldview	Follow
   2 With	Japan
   2 With	Internet
   2 White	December
   2 What	the
   2 Watch	Military
   2 Watch	Korea
   2 Washington	U
   2 War	with
   2 Violence	Substance
   2 View	All
   2 Vice	Premier
   2 Us	Press
   2 Twitter	Facebook
   2 Trump	speaks
   2 Trump	Enough
   2 Treatment	to
   2 Treasury	Secretary
   2 Transforming	Mental
   2 Trade	Representative
   2 Topics	Security
   2 Top	Stories
   2 Tokyo	Japan
   2 The	logos
   2 The	Skeptics
   2 The	Buzz
   2 Technology	Regions
   2 Summit	on
   2 Suh	Hoon
   2 Substance	Abuse
   2 Subscriptions	Contact
   2 Subscribe	Contact
   2 Submit	Submit
   2 Submit	Magazine
   2 Submissions	Subscribe
   2 Submission	Guidelines
   2 Stratfor	on
   2 Stratfor	Worldview
   2 Still	On
   2 Steven	Mnuchin
   2 States	in
   2 States	Trade
   2 Sotelo	which
   2 Society	Economics
   2 Small	Deal
   2 Skeptics	The
